Orthogroup	Duplications (all)	Duplications (50% support)
OG0000576	6	6
OG0000577	6	6
OG0000578	7	7
OG0000579	10	10
OG0000580	6	6
OG0000581	6	6
OG0000582	4	3
OG0000583	7	7
OG0000584	6	6
OG0000585	6	6
OG0000586	4	4
OG0000587	3	2
OG0000588	6	5
OG0000589	5	5
OG0000590	3	3
OG0000591	3	3
OG0000592	5	5
OG0000593	6	6
OG0000594	7	7
OG0000595	5	4
OG0000596	5	5
OG0000597	4	4
OG0000598	8	8
OG0000599	4	4
OG0000600	6	6
OG0000601	6	6
OG0000602	6	6
OG0000603	5	5
OG0000604	5	4
OG0000605	7	7
OG0000606	5	5
OG0000607	12	12
OG0000608	4	4
OG0000609	5	5
OG0000610	7	7
OG0000611	6	6
OG0000612	3	3
OG0000613	4	4
OG0000614	5	5
OG0000615	4	3
OG0000616	8	8
OG0000617	4	3
OG0000618	6	6
OG0000619	6	5
OG0000620	3	3
OG0000621	4	4
OG0000622	9	9
OG0000623	7	7
OG0000624	4	3
OG0000625	6	6
OG0000626	4	4
OG0000627	5	5
OG0000628	5	5
OG0000629	15	15
OG0000630	14	14
OG0000631	15	15
OG0000632	11	11
OG0000633	14	14
OG0000634	2	2
OG0000635	14	14
OG0000636	4	4
OG0000637	7	7
OG0000638	3	3
OG0000639	3	3
OG0000640	14	14
OG0000641	14	14
OG0000642	5	4
OG0000643	6	6
OG0000644	11	11
OG0000645	9	8
OG0000646	6	4
OG0000647	5	3
OG0000648	3	3
OG0000649	4	2
OG0000650	4	4
OG0000651	7	7
OG0000652	9	8
OG0000653	6	4
OG0000654	2	2
OG0000655	5	4
OG0000656	6	6
OG0000657	3	3
OG0000658	4	2
OG0000659	4	4
OG0000660	5	5
OG0000661	4	4
OG0000662	5	5
OG0000663	3	3
OG0000664	4	4
OG0000665	2	1
OG0000666	4	4
OG0000667	4	4
OG0000668	4	4
OG0000669	4	3
OG0000670	4	4
OG0000671	2	2
OG0000672	3	3
OG0000673	6	4
OG0000674	7	7
OG0000675	4	3
OG0000676	2	2
OG0000677	2	2
OG0000678	4	3
OG0000679	2	2
OG0000680	4	4
OG0000681	2	2
OG0000682	4	4
OG0000683	2	2
OG0000684	2	2
OG0000685	4	4
OG0000686	3	3
OG0000687	5	5
OG0000688	4	4
OG0000689	4	4
OG0000690	4	3
OG0000691	5	5
OG0000692	4	4
OG0000693	5	5
OG0000694	4	4
OG0000695	2	2
OG0000696	6	6
OG0000697	6	6
OG0000698	5	4
OG0000699	9	9
OG0000700	4	4
OG0000701	5	4
OG0000702	3	3
OG0000703	5	5
OG0000704	4	3
OG0000705	4	4
OG0000706	5	4
OG0000707	5	5
OG0000708	5	5
OG0000709	5	5
OG0000710	5	5
OG0000711	4	2
OG0000712	5	4
OG0000713	7	7
OG0000714	6	6
OG0000715	4	4
OG0000716	7	7
OG0000717	3	3
OG0000718	3	3
OG0000719	7	7
OG0000720	2	2
OG0000721	4	4
OG0000722	3	3
OG0000723	5	5
OG0000724	4	4
OG0000725	3	3
OG0000726	5	5
OG0000727	5	5
OG0000728	5	5
OG0000729	2	2
OG0000730	4	4
OG0000731	5	5
OG0000732	6	6
OG0000733	6	6
OG0000734	5	5
OG0000735	5	5
OG0000736	5	5
OG0000737	6	6
OG0000738	5	3
OG0000739	2	2
OG0000740	5	5
OG0000741	4	4
OG0000742	6	6
OG0000743	2	2
OG0000744	3	3
OG0000745	4	3
OG0000746	4	3
OG0000747	7	7
OG0000748	3	3
OG0000749	5	5
OG0000750	4	4
OG0000751	5	5
OG0000752	4	4
OG0000753	4	4
OG0000754	5	5
OG0000755	11	11
OG0000756	3	3
OG0000757	8	8
OG0000758	5	5
OG0000759	3	3
OG0000760	11	11
OG0000761	8	8
OG0000762	4	4
OG0000763	7	7
OG0000764	7	5
OG0000765	8	8
OG0000766	6	6
OG0000767	4	4
OG0000768	5	5
OG0000769	4	4
OG0000770	5	5
OG0000771	4	4
OG0000772	8	8
OG0000773	3	3
OG0000774	6	6
OG0000775	6	6
OG0000776	8	8
OG0000777	4	2
